,Project_ID,Organization,Project_start_date,Project_end_date,Organization_size,IT_dpt_size,Customer_type,Estimated_Duration,Actual_Duration,Project_Profit_Loss_percent,Project_type,Development_type,Estimated_effort,Management_clarity,Training_effort,User_resistance,Software_licence_cost,hardware_cost,Development_cost,maintainance_cost,Additional_cost,Estimated_total_cost,Requirement_stability,Manager_experience,Development_team_experience,Maintanainance_support_team_experience,Machine_learning_team_experience,Data_Analysis_team experience,Team_size,Daily_work_hours,Level_of_outsourcing,Software_availability,Software_accuracy,Software_stability,Cloud_platform_type,Computing_Tier,Programming_language_used,DB_used,Open_source_tool_used,Degree_of_software_reuse,Increase_in_productivity,Change_in_waiting_time,Change_avg_wait_time,Change_avg_call_duration,Change_in_revenue
20,20,Company_6,2021-03-21,2023-06-09,4.0,5.6,6,808.8,633.0,41.228026126333795,Voice Bots,Feature-Driven,70896.0,5.0,18873.54398337381,2.0,2205.0,3606.0,7.48,1553.1024,407.8,113321.91452054796,2.0,8.0,5.0,8.0,7.0,7.0,21.6,8,4.48,80,67.244,75,AWS,T1,ASP.Net,PLSQL,T5,6,81,-37,-37,90,-41
21,21,Company_4,2020-11-11,2022-09-22,4.0,3.6,4,678.8,101.0,39.066890678869385,Hybrid model,Waterfall,7918.4,5.0,3095.0301329595613,2.0,841.0,3548.0,7.48,1684.1024,539.8,15387.419178082191,3.0,8.0,6.0,9.0,5.0,7.0,15.6,8,1.48,75,92.244,95,IBM,T5,Java,Oracle,T4,5,82,-19,-19,50,-82
22,22,Company_5,2020-12-24,2022-12-17,4.0,6.6,5,721.8,323.0,35.43006708491106,Keyword recognition-based,Waterfall,79587.2,6.0,28159.147423418235,2.0,1867.0,3981.0,7.48,1516.1024,506.8,58560.51945205479,3.0,8.0,7.0,8.0,3.0,9.0,45.6,8,5.48,85,87.244,70,Oracle,T4,R,MySQL,T3,6,24,-30,-30,74,-38
23,23,Company_7,2020-02-18,2021-04-06,4.0,4.6,7,411.8,183.0,15.975077351563925,Keyword recognition-based,Lean,8198.4,7.0,2501.615954727254,2.0,2249.0,3526.0,7.48,1332.1024,455.8,31881.106849315067,2.0,8.0,6.0,6.0,4.0,6.0,9.6,8,2.48,85,87.244,70,AWS,T5,R,MySQL,T3,6,7,40,40,99,-20
24,24,Company_3,2022-11-10,2026-09-19,4.0,5.6,3,1407.8,700.0,47.58036895326473,Voice Bots,Agile,47040.0,7.0,13713.579348266934,1.0,1492.0,3438.0,7.48,1134.1024,569.8,106983.7808219178,3.0,10.0,5.0,7.0,8.0,5.0,13.6,8,3.48,80,67.244,75,GCP,T5,ASP.Net,PLSQL,T5,6,10,91,91,22,11
25,25,Company_7,2019-02-05,2019-03-12,4.0,4.6,7,33.8,74.0,35.755376579791395,Keyword recognition-based,Waterfall,3315.2,7.0,1063.5590167748765,2.0,2034.0,3874.0,7.48,1263.1024,543.8,13150.671780821918,3.0,7.0,7.0,6.0,6.0,8.0,9.6,8,2.48,85,87.244,70,AWS,T3,R,MySQL,T3,6,20,-99,-99,38,-25
26,26,Company_1,2020-07-21,2022-02-08,4.0,3.6,1,565.8,290.0,71.86935271214008,Voice Bots,Scrum,38976.0,4.0,13821.734397192742,2.0,2466.0,3482.0,7.48,1440.1024,430.8,52230.509589041096,3.0,5.0,8.0,9.0,9.0,6.0,25.6,8,5.48,80,67.244,75,Oracle,T5,ASP.Net,PLSQL,T5,6,0,77,77,-98,40
27,27,Company_5,2019-01-03,2019-01-05,4.0,6.6,5,0.8,484.0,35.98074327771841,Keyword recognition-based,Agile,119257.59999999999,6.0,34697.67323711256,2.0,2066.0,3191.0,7.48,1542.1024,585.8,82336.75397260275,3.0,8.0,11.0,8.0,6.0,4.0,45.6,8,5.48,85,87.244,70,Salesforce,T2,R,MySQL,T3,6,25,93,93,-95,54
28,28,Company_3,2020-07-23,2022-02-12,3.0,5.2,3,568.1,288.0,29.375174469694812,Keyword recognition-based,Scrum,19353.6,6.0,5622.986877037226,2.0,807.0,3659.0,7.36,1317.1168,516.6,41802.450410958896,3.0,6.0,6.0,3.0,6.0,9.0,13.2,8,3.36,85,87.208,70,Azure,T2,R,MySQL,T3,6,4,53,53,9,-35
29,29,Company_1,2021-07-07,2024-01-11,6.0,4.4,1,916.2,477.0,38.6806151201389,Machine Learning chatbot,Lean,64108.799999999996,6.0,20850.82997153437,2.0,1585.0,3807.0,7.72,1613.0736,491.2,82364.4394520548,2.0,8.0,6.0,6.0,9.0,5.0,26.4,8,5.72,95,87.316,75,Azure,T4,Java,MongoDB,T3,4,35,-60,-60,9,51
30,30,Company_2,2021-08-31,2024-04-30,5.0,7.0,2,971.5,248.0,32.40998191964301,Keyword recognition-based,Agile,8332.8,7.0,2286.3367474031966,2.0,1991.0,3903.0,7.6,1440.088,605.0,45350.97863013698,6.0,7.0,5.0,9.0,9.0,5.0,8.0,8,2.6,85,87.28,70,Azure,T5,R,MySQL,T3,6,35,-12,-12,-58,61
31,31,Company_1,2022-02-22,2025-04-15,4.0,3.6,1,1146.8,391.0,46.39446922803919,Hybrid model,Waterfall,52550.399999999994,5.0,13671.66567385298,2.0,1911.0,3271.0,7.48,1707.1024,592.8,67388.68931506848,4.0,7.0,8.0,9.0,10.0,9.0,25.6,8,5.48,75,92.244,95,AWS,T5,Java,Oracle,T4,5,78,-100,-100,-25,-91
32,32,Company_3,2021-01-25,2023-02-19,6.0,6.4,3,753.2,55.0,9.600236023084543,Machine Learning chatbot,Agile,3695.9999999999995,5.0,1212.9266452337483,3.0,2496.0,3349.0,7.72,1515.0736,618.2,10107.04109589041,4.0,6.0,5.0,5.0,8.0,5.0,14.4,8,3.7199999999999998,95,87.316,75,Oracle,T3,Java,MongoDB,T3,4,73,3,3,-95,-21
33,33,Company_5,2021-01-31,2023-03-03,3.0,6.2,5,760.1,132.0,29.954341156481625,Hybrid model,Feature-Driven,32524.8,5.0,9712.980660095212,2.0,3140.0,3362.0,7.36,1537.1168,537.6,26076.54575342466,3.0,5.0,6.0,7.0,11.0,5.0,45.2,8,5.36,75,92.208,95,Salesforce,T4,Java,Oracle,T4,5,44,-30,-30,-69,60
34,34,Company_6,2021-06-19,2023-12-06,3.0,5.2,6,899.1,243.0,31.519848381584495,Keyword recognition-based,Feature-Driven,27216.0,7.0,10111.449649372846,1.0,1835.0,3379.0,7.36,1108.1168,511.6,38257.12109589041,3.0,4.0,11.0,7.0,8.0,13.0,21.2,8,4.36,85,87.208,70,Azure,T3,R,MySQL,T3,6,8,95,95,-2,33
35,35,Company_7,2020-07-26,2022-02-18,4.0,4.6,7,570.8,388.0,53.70183733407282,Machine Learning chatbot,Extreme Programming,17382.399999999998,6.0,5943.452335427992,2.0,1638.0,3663.0,7.48,1533.1024,537.8,65889.41589041096,4.0,4.0,5.0,3.0,8.0,12.0,9.6,8,2.48,95,87.244,75,AWS,T2,Java,MongoDB,T3,4,24,97,97,37,69
36,36,Company_1,2019-05-05,2019-09-06,5.0,4.0,1,122.5,94.0,41.08594159247837,Linguistic Based,Feature-Driven,12633.599999999999,6.0,4315.23561027022,2.0,1560.0,2942.0,7.6,1720.088,568.0,14703.866301369862,3.0,10.0,7.0,7.0,7.0,8.0,26.0,8,5.6,90,74.28,82,Salesforce,T3,Python,MySQL,T2,7,48,-32,-32,61,31
37,37,Company_7,2019-02-13,2019-03-28,4.0,4.6,7,41.8,15.0,28.507479427004974,Machine Learning chatbot,Waterfall,672.0,6.0,167.08581362384152,2.0,1638.0,3314.0,7.48,1732.1024,495.8,2480.9917808219175,-0.0,10.0,7.0,8.0,10.0,8.0,9.6,8,2.48,95,87.244,75,IBM,T1,Java,MongoDB,T3,4,14,94,94,-3,90
38,38,Company_1,2020-05-24,2021-10-15,5.0,4.0,1,507.5,47.0,23.148035477225378,Hybrid model,Agile,6316.799999999999,6.0,1836.469471401445,2.0,2575.0,3576.0,7.6,1338.088,453.0,8597.986849315068,2.0,4.0,9.0,7.0,8.0,5.0,26.0,8,5.6,75,92.28,95,Azure,T3,Java,Oracle,T4,5,47,36,36,-10,-19
39,39,Company_3,2021-12-10,2024-11-18,3.0,5.2,3,1073.1,329.0,39.13298138018531,Hybrid model,Agile,22108.8,6.0,7151.686376609152,2.0,2177.0,3573.0,7.36,1489.1168,590.6,59337.89917808218,4.0,7.0,9.0,10.0,8.0,7.0,13.2,8,3.36,75,92.208,95,Oracle,T5,Java,Oracle,T4,5,93,-45,-45,48,-69
40,40,Company_1,2021-11-07,2024-09-13,4.0,3.6,1,1039.8,33.0,61.476365835482845,Voice Bots,Agile,4435.2,6.0,1614.09998035652,2.0,3160.0,3407.0,7.48,1411.1024,463.8,6416.610410958904,3.0,6.0,10.0,7.0,5.0,7.0,25.6,8,5.48,80,67.244,75,Salesforce,T2,ASP.Net,PLSQL,T5,6,58,65,65,-33,-34
41,41,Company_5,2019-11-17,2020-10-02,5.0,7.0,5,318.5,65.0,21.05131004394397,Keyword recognition-based,Feature-Driven,16015.999999999998,6.0,4176.588115341513,2.0,2152.0,2931.0,7.6,1535.088,433.0,10557.994520547943,3.0,4.0,9.0,5.0,9.0,8.0,46.0,8,5.6,85,87.28,70,AWS,T5,R,MySQL,T3,6,79,71,71,-26,25
42,42,Company_4,2021-12-13,2024-11-24,3.0,3.2,4,1076.1,552.0,31.81548609423138,button-based,Agile,43276.799999999996,7.0,14290.788788447006,2.0,1729.0,3449.0,7.36,1926.1168,461.6,96204.07232876711,4.0,7.0,9.0,9.0,6.0,6.0,15.2,8,1.3599999999999999,85,92.208,80,Salesforce,T2,Python,Oracle,T1,6,89,-26,-26,-96,-68
43,43,Company_7,2020-07-13,2022-01-23,4.0,4.6,7,557.8,309.0,49.916943568161265,Hybrid model,Lean,13843.199999999999,7.0,3631.0586714138003,2.0,2298.0,3539.0,7.48,1699.1024,470.8,56989.420273972595,4.0,7.0,6.0,5.0,8.0,4.0,9.6,8,2.48,75,92.244,95,IBM,T4,Java,Oracle,T4,5,54,-34,-34,90,38
44,44,Company_5,2020-02-19,2021-04-08,4.0,6.6,5,412.8,120.0,68.21696806521497,Keyword recognition-based,Feature-Driven,29567.999999999996,6.0,9992.044074714795,2.0,2290.0,3833.0,7.48,1521.1024,560.8,22678.61917808219,2.0,7.0,6.0,6.0,5.0,11.0,45.6,8,5.48,85,87.244,70,Oracle,T1,R,MySQL,T3,6,63,-72,-72,53,-80
45,45,Company_5,2021-08-08,2024-03-15,3.0,6.2,5,949.1,221.0,37.130663539532335,Linguistic Based,Feature-Driven,54454.399999999994,5.0,17890.262122143267,2.0,1213.0,3557.0,7.36,1686.1168,464.6,35235.997808219174,2.0,2.0,10.0,9.0,4.0,7.0,45.2,8,5.36,90,74.208,82,Oracle,T2,Python,MySQL,T2,7,22,69,69,-9,58
46,46,Company_5,2021-02-08,2023-03-19,3.0,6.2,5,768.1,569.0,38.05097898630666,Voice Bots,Waterfall,140201.59999999998,7.0,49154.25213864484,2.0,1971.0,3827.0,7.36,1565.1168,480.6,102807.2317808219,2.0,9.0,8.0,7.0,6.0,11.0,45.2,8,5.36,80,67.208,75,Oracle,T4,ASP.Net,PLSQL,T5,6,69,19,19,18,53
47,47,Company_2,2020-09-01,2022-05-03,5.0,7.0,2,607.5,409.0,68.72568861558219,Hybrid model,Scrum,13742.4,5.0,3930.9942675734655,2.0,935.0,3045.0,7.6,1218.088,509.0,53783.61205479451,1.0,7.0,10.0,5.0,5.0,5.0,8.0,8,2.6,75,92.28,95,GCP,T4,Java,Oracle,T4,5,31,64,64,-12,92
48,48,Company_3,2022-08-25,2026-04-18,3.0,5.2,3,1331.1,109.0,37.08438686738003,Voice Bots,Waterfall,7324.799999999999,5.0,2106.7023561696133,2.0,2369.0,3402.0,7.36,1230.1168,539.6,18934.106301369862,3.0,6.0,6.0,9.0,9.0,8.0,13.2,8,3.36,80,67.208,75,Azure,T1,ASP.Net,PLSQL,T5,6,33,-89,-89,78,-21
49,49,Company_4,2019-03-13,2019-05-23,3.0,3.2,4,70.1,640.0,22.029248856295943,Voice Bots,Agile,50176.0,7.0,16287.076617614961,2.0,2083.0,3726.0,7.36,1523.1168,480.6,115178.95890410956,4.0,6.0,6.0,5.0,6.0,8.0,15.2,8,1.3599999999999999,80,67.208,75,GCP,T1,ASP.Net,PLSQL,T5,6,43,96,96,-7,-29
50,50,Company_7,2022-12-07,2026-11-12,3.0,4.2,7,1435.1,477.0,21.055945056196272,button-based,Waterfall,21369.6,5.0,4985.783924962449,2.0,1728.0,3706.0,7.36,1535.1168,496.6,82035.11342465752,0.0,7.0,6.0,5.0,9.0,5.0,9.2,8,2.36,85,92.208,80,GCP,T4,Python,Oracle,T1,6,8,-28,-28,-4,-86
51,51,Company_4,2020-06-22,2021-12-12,5.0,4.0,4,536.5,92.0,28.22617129267337,Hybrid model,Extreme Programming,7212.799999999999,7.0,2289.980320043789,2.0,2163.0,3313.0,7.6,1755.088,483.0,16347.366575342467,3.0,6.0,8.0,7.0,7.0,2.0,16.0,8,1.6,75,92.28,95,Azure,T2,Java,Oracle,T4,5,92,41,41,95,32
52,52,Company_3,2022-05-17,2025-09-30,5.0,6.0,3,1230.5,235.0,24.17692879830691,button-based,Extreme Programming,15791.999999999998,5.0,4329.546749601014,3.0,2060.0,3853.0,7.6,1504.088,502.0,42865.54520547945,4.0,4.0,7.0,6.0,6.0,9.0,14.0,8,3.6,85,92.28,80,AWS,T5,Python,Oracle,T1,6,12,-83,-83,-25,-34
53,53,Company_1,2019-04-18,2019-08-03,4.0,3.6,1,105.8,342.0,71.12909937000319,Voice Bots,Scrum,45964.799999999996,6.0,10262.310942160344,2.0,3090.0,3531.0,7.48,1224.1024,507.8,65798.92602739726,1.0,6.0,7.0,5.0,6.0,7.0,25.6,8,5.48,80,67.244,75,Salesforce,T2,ASP.Net,PLSQL,T5,6,73,98,98,36,14
54,54,Company_3,2020-02-13,2021-03-27,5.0,6.0,3,406.5,476.0,42.40525036344378,Voice Bots,Agile,31987.199999999997,5.0,8617.541511103587,2.0,2166.0,3593.0,7.6,1525.088,448.0,84777.03452054794,2.0,4.0,9.0,5.0,6.0,9.0,14.0,8,3.6,80,67.28,75,Azure,T3,ASP.Net,PLSQL,T5,6,41,-81,-81,85,37
55,55,Company_1,2020-06-22,2021-12-12,4.0,3.6,1,536.8,221.0,35.243626576393865,Keyword recognition-based,Extreme Programming,29702.399999999998,6.0,10752.798980438289,2.0,3119.0,3444.0,7.48,1423.1024,533.8,43368.55561643835,3.0,5.0,6.0,8.0,9.0,6.0,25.6,8,5.48,85,87.244,70,AWS,T1,R,MySQL,T3,6,25,-32,-32,22,-3
56,56,Company_2,2019-07-17,2020-01-30,4.0,6.6,2,195.8,493.0,46.184674031498744,button-based,Lean,16564.8,5.0,5280.796792850633,2.0,1401.0,3841.0,7.48,1298.1024,515.8,80135.05643835616,3.0,8.0,7.0,7.0,5.0,4.0,7.6,8,2.48,85,92.244,80,Salesforce,T4,Python,Oracle,T1,6,89,98,98,54,-98
57,57,Company_5,2022-03-03,2025-05-03,5.0,7.0,5,1155.5,386.0,50.118588898034666,Hybrid model,Scrum,95110.4,7.0,34354.460971571454,2.0,1788.0,3295.0,7.6,1395.088,498.0,62031.99780821918,2.0,4.0,6.0,7.0,5.0,6.0,46.0,8,5.6,75,92.28,95,Azure,T5,Java,Oracle,T4,5,8,65,65,89,-43
58,58,Company_4,2022-12-08,2026-11-14,3.0,3.2,4,1436.1,437.0,15.888836013885138,Keyword recognition-based,Extreme Programming,34260.799999999996,7.0,9577.724884645197,2.0,2620.0,3421.0,7.36,1632.1168,540.6,82678.48438356165,3.0,8.0,9.0,3.0,10.0,9.0,15.2,8,1.3599999999999999,85,87.208,70,Oracle,T5,R,MySQL,T3,6,9,50,50,-14,38
59,59,Company_1,2022-11-03,2026-09-05,4.0,3.6,1,1400.8,488.0,34.26973617066046,Keyword recognition-based,Lean,65587.2,6.0,20892.428145588005,2.0,2326.0,2999.0,7.48,1317.1024,598.8,81400.00438356164,1.0,5.0,4.0,6.0,9.0,8.0,25.6,8,5.48,85,87.244,70,Azure,T1,R,MySQL,T3,6,47,-46,-46,-4,74
60,60,Company_6,2021-07-28,2024-02-22,4.0,5.6,6,937.8,403.0,64.30297365031173,Keyword recognition-based,Lean,45136.0,5.0,13755.159642773095,2.0,2366.0,3658.0,7.48,1516.1024,467.8,74335.28219178082,4.0,7.0,6.0,9.0,8.0,6.0,21.6,8,4.48,85,87.244,70,AWS,T3,R,MySQL,T3,6,71,19,19,45,5
61,61,Company_5,2022-06-14,2025-11-25,5.0,7.0,5,1258.5,450.0,23.44528036918423,Hybrid model,Extreme Programming,110880.0,7.0,35628.10863358981,2.0,871.0,3081.0,7.6,1540.088,582.0,62975.83561643836,3.0,10.0,7.0,7.0,8.0,8.0,46.0,8,5.6,75,92.28,95,AWS,T4,Java,Oracle,T4,5,36,-36,-36,25,-90
62,62,Company_4,2019-06-17,2019-12-01,2.0,2.8,4,166.4,708.0,20.046224802510377,Linguistic Based,Scrum,55507.2,6.0,14710.906443518892,3.0,2231.0,3000.0,7.24,1500.1312,572.4,119123.23068493149,3.0,8.0,8.0,11.0,6.0,8.0,14.8,8,1.24,90,74.172,82,Azure,T3,Python,MySQL,T2,7,25,-38,-38,-8,56
63,63,Company_2,2022-08-14,2026-03-27,3.0,6.2,2,1320.1,237.0,47.77759993942685,Keyword recognition-based,Agile,7963.2,5.0,2389.1603552046363,2.0,2088.0,3131.0,7.36,1317.1168,501.6,38425.16712328767,5.0,10.0,13.0,6.0,7.0,3.0,7.2,8,2.36,85,87.208,70,AWS,T1,R,MySQL,T3,6,11,-100,-100,63,-42
64,64,Company_7,2022-11-10,2026-09-19,4.0,4.6,7,1407.8,641.0,26.8460641422589,Hybrid model,Agile,28716.8,6.0,8595.981855644883,2.0,1110.0,3875.0,7.48,1452.1024,452.8,101743.03232876712,3.0,6.0,6.0,7.0,11.0,5.0,9.6,8,2.48,75,92.244,95,IBM,T1,Java,Oracle,T4,5,84,86,86,-55,-57
65,65,Company_3,2020-01-31,2021-03-01,4.0,5.6,3,393.8,501.0,14.473395175193994,button-based,Extreme Programming,33667.2,6.0,10811.99556558481,2.0,1618.0,3423.0,7.48,1316.1024,512.8,79290.86794520548,1.0,7.0,13.0,9.0,6.0,8.0,13.6,8,3.48,85,92.244,80,Oracle,T2,Python,Oracle,T1,6,90,-2,-2,27,96
66,66,Company_7,2022-06-10,2025-11-17,2.0,3.8,7,1255.4,249.0,47.79485012636214,Machine Learning chatbot,Agile,11155.199999999999,6.0,4027.007943066231,1.0,2116.0,3665.0,7.24,1389.1312,601.4,44576.86684931506,4.0,7.0,6.0,6.0,5.0,6.0,8.8,8,2.24,95,87.172,75,Salesforce,T2,Java,MongoDB,T3,4,62,54,54,3,25
67,67,Company_5,2022-12-25,2026-12-18,4.0,6.6,5,1452.8,6.0,42.29080869564092,Voice Bots,Scrum,1478.3999999999999,6.0,421.56352102670803,2.0,2139.0,3155.0,7.48,1617.1024,511.8,1025.9506849315067,3.0,6.0,2.0,6.0,7.0,12.0,45.6,8,5.48,80,67.244,75,IBM,T5,ASP.Net,PLSQL,T5,6,97,-8,-8,-17,88
